Start,End,BoredSleepy,Contempt,Sadness,Joy,Love,Anger,TenseStress,Fear,Surprise
29697,29824,0.455535674510206,0,0.158348244117346,0,0,0,0,0,0
29825,29952,0.0175395976255995,0,0,0,0,0,0,0,0
29953,30080,0,0,0,0,0,0,0,0,0
30081,30208,0,0,0,0,0,0,0,0,0
30209,30336,0,0,0.402212486553258,0,0,0,0,0,0
30337,30464,0,0,0,0,0,0,0,0,0
30465,30592,0,0,0,0,0,0,0,0,0
30593,30720,0.676144691906176,0,0,0,0,0,0,0,0
30721,30848,0.57656048468455,0,0,0,0,0,0,0,0
30849,30976,0,0,0,0,0,0,0,0,0
30977,31104,0.63939887596945,0,0,0,0,0,0,0,0
31105,31232,0,0,0,0,0,0,0,0,0
31233,31360,0,0,0,0,0,0,0,0,0
31361,31488,0,0,0,0,0,0,0,0,0
31489,31616,0.660841398516688,0,0,0,0,0,0,0,0
31617,31744,0.2912929788001,0,0,0,0,0,0,0,0
31745,31872,0.141752375526682,0,0.141752375526682,0,0,0,0,0,0
31873,32000,0,0,0,0,0,0,0,0,0
32001,32128,0,0,0,0,0,0,0,0.302524168426856,0
32129,32256,0,0,0,0,0,0,0,0,0
32257,32384,0.501508228002388,0,0,0,0,0,0,0,0
32385,32512,0,0,0,0,0,0,0,0,0
32513,32640,0,0,0,0,0,0,0,0,0
32641,32768,0,0,0.433122822936345,0,0,0,0,0,0
32769,32896,0,0,0,0,0,0,0,0,0
32897,33024,0,0,0,0,0,0,0,0,0
33025,33152,0.778530602230457,0,0,0,0,0,0,0,0
33153,33280,0,0,0,0,0,0,0,0,0
33281,33408,0,0,0,0,0,0,0,0,0
33409,33536,0,0,0,0,0,0,0,0,0
33537,33664,0.416434812553568,0,0,0,0,0,0,0,0
33665,33792,0,0,0,0,0,0,0,0,0
33793,33920,0,0,0,0,0.151558836163011,0,0,0,0
33921,34048,0,0,0,0,0,0,0,0,0
34049,34176,0.494992169472706,0,0.12875587289547,0,0,0,0,0,0
34177,34304,0,0,0,0,0.864006462757883,0,0,0,0
34305,34432,0,0,0,0,0,0,0,0,0
34433,34560,0,0,0,0,0,0,0,0,0
34561,34688,0.860169790816225,0,0,0,0,0,0,0,0
34689,34816,0,0,0,0,0,0,0,0,0
34817,34944,0,0,0,0,0,0,0,0,0
34945,35072,0,0,0,0,0,0,0,0,0
35073,35200,0.77325232875373,0,0,0,0,0,0,0,0
35201,35328,0.107045683599132,0,0,0,0,0,0,0,0
35329,35456,0,0,0,0,0,0,0,0,0
35457,35584,0,0,0,0,0,0,0,0,0
35585,35712,0,0,0,0,0,0,0,0,0
35713,35840,0,0,0,0,0,0,0,0,0
35841,35968,0,0,0,0,0,0,0,0,0
35969,36096,0,0,0,0,0,0,0,0,0
36097,36224,0,0,0,0,0,0,0,0,0
36225,36352,0,0,0,0,0,0,0,0,0
36353,36480,0,0,0,0,0,0,0,0,0
36481,36608,0,0,0,0,0,0,0,0,0
36609,36736,0,0,0,0,0,0,0,0,0
36737,36864,0,0,0,0,0,0,0,0,0
36865,36992,0,0,0,0,0,0,0,0,0
36993,37120,0,0,0,0,0,0,0,0,0
37121,37248,0,0,0,0,0,0,0,0,0
37249,37376,0,0,0,0,0,0,0,0,0
37377,37504,0,0,0,0,0,0,0,0,0
37505,37632,0,0,0,0,0,0,0,0,0
37633,37760,0,0,0,0,0,0,0,0,0
37761,37888,0,0,0,0,0,0,0,0,0
37889,38016,0,0,0,0,0,0,0,0,0
38017,38144,0.208081981598586,0,0,0,0,0,0,0,0
38145,38272,0,0,0,0,0,0,0,0,0
38273,38400,0,0,0,0,0,0,0,0,0
38401,38528,0.613033355542935,0,0,0,0,0,0,0,0
38529,38656,0.454951065676117,0,0,0,0,0,0,0,0
38657,38784,0,0,0,0,0,0,0,0,0
38785,38912,0,0,0,0,0,0,0,0,0
38913,39040,0,0,0,0,0,0,0,0,0
39041,39168,0,0,0,0,0,0,0,0,0
39169,39296,0,0,0,0,0,0,0,0,0
39297,39424,0,0,0,0,0,0,0,0,0
39425,39552,0,0,0,0,0,0,0,0,0
39553,39680,0,0,0,0,0,0,0,0,0
39681,39808,0.625664865480553,0,0,0,0,0,0,0,0
39809,39936,0,0,0,0,0,0,0,0,0
39937,40064,0,0,0,0,0,0,0,0,0
40065,40192,0.0853253209213105,0,0,0,0,0,0,0,0
40193,40320,0,0,0,0,0,0,0,0,0
40321,40448,0,0,0,0,0,0,0,0,0
40449,40576,0,0,0,0,0,0,0,0,0
40577,40704,0.258755630979892,0,0,0,0,0,0,0,0
40705,40832,0,0,0,0,0,0,0,0,0
40833,40960,0,0,0,0,0,0,0,0,0
40961,41088,0,0,0,0,0,0,0,0,0
41089,41216,0,0,0,0,0,0,0,0,0
41217,41344,0.303306771415761,0,0,0,0,0,0,0,0
41345,41472,0,0,0,0,0,0,0,0,0
41473,41600,0.329138578410153,0,0,0,0,0,0,0,0
41601,41728,0,0,0,0,0,0,0,0,0
41729,41856,0.0742773504618122,0,0,0,0,0,0,0,0
